lon,lat,weather_id,weather_main,weather_description,weather_icon,base,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,visibility,wind_speed,wind_deg,clouds_all,sys_type,sys_id,city,country,sunrise,sunset,record_time,city_id,cod
69.4167,34.5,800,Clear,clear sky,01n,stations,72.66,72.73,72.66,72.66,1007,66,1007,798,10000,1.19,67,0,,,Kabul,AF,2024-08-14 07:12:33+00:00,2024-08-14 20:41:39+00:00,2024-08-14 03:36:02+00:00,1138957,200
31.2497,30.0626,800,Clear,clear sky,01n,stations,86.76,93.38,86.41,86.76,1008,62,1008,1002,6000,4.63,30,0,1.0,2514.0,Cairo,EG,2024-08-14 08:21:55+00:00,2024-08-14 21:37:35+00:00,2024-08-14 01:59:48+00:00,360630,200
29.9553,31.2156,800,Clear,clear sky,01n,stations,81.37,83.71,81.37,81.37,1008,61,1008,1008,10000,3.54,356,0,,,Alexandria,EG,2024-08-14 08:25:27+00:00,2024-08-14 21:44:25+00:00,2024-08-14 02:01:37+00:00,361058,200
62.0,34.5,800,Clear,clear sky,01n,stations,84.15,81.55,84.15,84.15,1004,23,1004,890,10000,3.37,30,0,,,Herat Province,AF,2024-08-14 07:42:14+00:00,2024-08-14 21:11:18+00:00,2024-08-14 03:37:30+00:00,1140025,200
19.8189,41.3275,800,Clear,clear sky,01n,stations,76.08,76.26,76.08,76.08,1010,61,1010,975,10000,2.06,160,0,1.0,6359.0,Tirana,AL,2024-08-13 07:48:09+00:00,2024-08-13 21:43:08+00:00,2024-08-14 01:03:33+00:00,3183875,200
19.4414,41.3231,800,Clear,clear sky,01n,stations,77.18,77.7,77.18,77.18,1009,66,1009,1006,10000,0.83,138,0,1.0,6359.0,Durrës,AL,2024-08-13 07:49:41+00:00,2024-08-13 21:44:38+00:00,2024-08-14 01:03:45+00:00,3185728,200
19.4897,40.4667,800,Clear,clear sky,01n,stations,82.15,82.63,82.15,82.15,1009,48,1009,997,10000,1.94,71,0,,,Vlorë,AL,2024-08-13 07:51:09+00:00,2024-08-13 21:42:46+00:00,2024-08-14 01:07:36+00:00,3183719,200
3.042,36.7525,801,Clouds,few clouds,02n,stations,80.42,84.22,80.42,80.42,1010,74,1010,1004,10000,1.54,360,20,1.0,1060.0,Algiers,DZ,2024-08-13 08:03:42+00:00,2024-08-13 21:41:47+00:00,2024-08-14 00:06:12+00:00,2507480,200
-0.6417,35.6911,801,Clouds,few clouds,02n,stations,80.31,82.8,80.31,80.31,1011,65,1011,997,10000,5.66,200,20,1.0,1090.0,Oran,DZ,2024-08-13 08:20:14+00:00,2024-08-13 21:54:43+00:00,2024-08-14 00:05:44+00:00,2485926,200
6.6147,36.365,801,Clouds,few clouds,02n,stations,81.21,82.47,81.21,81.21,1012,54,1012,931,10000,1.72,73,23,,,Constantine,DZ,2024-08-13 07:50:04+00:00,2024-08-13 21:26:51+00:00,2024-08-14 00:04:37+00:00,2501152,200
-63.0578,18.217,500,Rain,light rain,10d,stations,80.94,86.68,80.82,81.1,1010,82,1010,1010,10000,12.25,125,100,2.0,2007546.0,The Valley,AI,2024-08-13 07:53:59+00:00,2024-08-13 20:40:14+00:00,2024-08-13 19:02:52+00:00,3573374,200
-92.341,34.5507,802,Clouds,scattered clouds,03d,stations,94.8,107.4,93.54,96.51,1014,55,1014,1002,10000,0.45,327,26,2.0,2003557.0,East End,US,2024-08-13 08:29:05+00:00,2024-08-13 21:59:22+00:00,2024-08-13 18:07:44+00:00,4109452,200
-122.2701,47.1412,804,Clouds,overcast clouds,04d,stations,67.78,67.08,65.08,70.38,1017,60,1017,1001,10000,2.57,280,100,2.0,2001487.0,South Hill,US,2024-08-13 08:04:16+00:00,2024-08-13 22:23:36+00:00,2024-08-13 16:07:46+00:00,5811456,200
-52.7093,47.5649,804,Clouds,overcast clouds,04d,stations,59.04,58.82,56.79,60.28,1009,89,1009,1004,10000,7.15,26,100,2.0,2007916.0,St. John's,CA,2024-08-13 07:54:43+00:00,2024-08-13 22:16:43+00:00,2024-08-13 20:37:47+00:00,6324733,200
-61.793,17.0667,502,Rain,heavy intensity rain,10d,stations,82.89,86.9,82.89,82.89,1010,65,1010,1009,5089,1.34,309,100,2.0,2016933.0,All Saints,AG,2024-08-13 07:50:15+00:00,2024-08-13 20:33:51+00:00,2024-08-13 19:07:49+00:00,3576397,200
-58.3772,-34.6132,800,Clear,clear sky,01d,stations,62.55,60.33,60.93,63.99,1018,39,1018,1017,10000,10.73,203,3,2.0,2020613.0,Buenos Aires,AR,2024-08-13 09:35:15+00:00,2024-08-13 20:21:32+00:00,2024-08-13 20:04:06+00:00,3435910,200
-64.1811,-31.4135,800,Clear,clear sky,01d,stations,72.66,70.57,72.25,73.76,1012,20,1012,956,10000,2.68,203,0,2.0,2074146.0,Córdoba,AR,2024-08-13 09:53:50+00:00,2024-08-13 20:49:22+00:00,2024-08-13 20:07:55+00:00,3860259,200
-60.6393,-32.9468,800,Clear,clear sky,01d,stations,65.79,63.37,64.11,65.95,1017,28,1017,1015,10000,4.92,360,0,2.0,2096177.0,Rosario,AR,2024-08-13 09:41:51+00:00,2024-08-13 20:33:02+00:00,2024-08-13 20:07:56+00:00,3838583,200
-70.027,12.524,803,Clouds,broken clouds,04d,stations,83.64,92.66,83.64,83.64,1008,79,1008,1008,10000,6.73,48,71,,,Oranjestad,AW,2024-08-13 08:28:19+00:00,2024-08-13 21:01:39+00:00,2024-08-13 19:07:58+00:00,3577154,200
-80.4498,26.6503,800,Clear,clear sky,01d,stations,92.59,102.83,88.99,94.01,1015,55,1015,1014,10000,4.28,334,6,2.0,37924.0,Palm Beach,US,2024-08-13 08:53:02+00:00,2024-08-13 22:00:18+00:00,2024-08-13 19:08:02+00:00,4167510,200
